specimen_name,scan_number,total_contact_length_microns,total_contact_length_mm,SAEF,MID_mm,VIR,CAT_HORIZONTAL_len_mm,CAT_CLOSING_len_mm,CAT_OPENING_UPPER_len_mm,CAT_OPENING_LOWER_len_mm
slo_87_01,0001,3254.2073,3.2542,1.4931,0.3716,0.2410,0.0000,1.2402,0.9759,1.0381
slo_87_01,0002,3137.6704,3.1377,1.4102,0.3898,0.2275,0.0000,1.1154,1.0526,0.9696
slo_87_01,0003,3035.3010,3.0353,1.3049,0.3761,0.2003,0.0000,1.1444,0.9442,0.9468
slo_87_01,0004,2916.1500,2.9161,1.2863,0.3795,0.2109,0.0000,0.8163,1.3207,0.7792
slo_87_01,0005,2782.2243,2.7822,1.2799,0.3886,0.1976,0.0000,0.9904,1.0132,0.7786
slo_87_01,0006,4257.8487,4.2578,1.8440,0.5795,0.2280,0.4107,2.0949,1.2336,0.5187
slo_87_01,0007,4450.5155,4.4505,1.9133,0.5989,0.2335,0.6462,2.0848,1.2839,0.4356
slo_87_01,0008,4582.3772,4.5824,1.9700,0.5239,0.2328,0.0000,1.7210,1.7673,1.0941
slo_87_01,0009,4210.9422,4.2109,1.8409,0.5239,0.2310,0.2012,1.7441,1.3783,0.8874
slo_87_01,0010,4069.8552,4.0699,1.7818,0.4852,0.2417,0.0000,1.6711,1.3034,1.0953
slo_87_01,0011,4211.8267,4.2118,1.8949,0.5045,0.2503,0.2269,1.7609,1.3226,0.9014
slo_87_01,0012,4441.4625,4.4415,1.9094,0.5057,0.2593,0.0000,1.8711,1.2752,1.2952
slo_87_01,0013,4358.9127,4.3589,1.9122,0.5102,0.2527,0.1547,1.8191,1.3094,1.0757
slo_87_01,0014,4348.7916,4.3488,1.9097,0.5432,0.2165,0.0000,1.5195,1.2680,1.5613
slo_87_01,0015,4744.4731,4.7445,2.0396,0.6250,0.2654,0.0000,1.7802,1.4492,1.5151
slo_88_01,0001,4314.1590,4.3142,1.8785,0.5398,0.2346,0.3843,1.1377,1.6150,1.1772
slo_88_01,0002,3913.6362,3.9136,1.6825,0.4841,0.2109,0.0000,1.3504,1.2125,1.3507
slo_88_01,0003,3822.7655,3.8228,1.7349,0.4750,0.2286,0.0000,1.4010,1.1821,1.2396
slo_88_01,0004,4358.7010,4.3587,1.8738,0.9625,0.1599,0.4207,1.7043,1.1810,1.0527
slo_88_01,0005,3857.2900,3.8573,1.7066,0.4182,0.2728,0.0000,1.6585,1.0820,1.1168
slo_88_01,0006,3771.3647,3.7714,1.6611,0.4398,0.2449,0.2233,1.4382,1.2864,0.8235
slo_88_01,0007,3871.6283,3.8716,1.6644,0.4341,0.2615,0.3795,1.5365,1.1595,0.7961
slo_88_01,0008,3898.3753,3.8984,1.7110,0.4341,0.2455,0.0000,1.3097,1.1646,1.4241
slo_88_01,0009,3794.3311,3.7943,1.6312,0.4193,0.2590,0.0000,1.5978,1.0978,1.0988
slo_88_01,0010,4102.0920,4.1021,1.7635,0.4432,0.2444,0.6094,1.5220,1.2147,0.7559
slo_88_01,0011,4325.5337,4.3255,1.8595,0.4500,0.2658,0.4528,1.7020,1.5409,0.6297
slo_88_01,0012,3833.3097,3.8333,1.6691,0.4239,0.2781,0.0000,1.7454,1.1653,0.9226
slo_88_01,0013,3908.4350,3.9084,1.6802,0.3989,0.2696,0.0000,1.7516,1.0721,1.0847
slo_88_01,0014,4223.8443,4.2238,1.8158,0.4193,0.2577,0.0000,1.7554,1.2159,1.2526
