specimen_name,scan_number,segment_index,start_x,start_y,end_x,end_y,length_pixels,length_microns,angle_degrees
slo_40_01,0018,3,321,376,862,621,593.8906,674.8735,24.36
slo_40_01,0018,4,862,621,858,863,242.0331,275.0367,-89.05
slo_40_01,0018,5,858,863,1398,1087,584.6161,664.3344,22.53
slo_40_01,0018,6,1398,1087,1491,1192,140.2640,159.3904,48.47
slo_40_01,0018,7,1491,1192,1461,1348,158.8584,180.5204,-79.11
slo_40_01,0018,8,1461,1348,1721,1411,267.5238,304.0034,13.62
slo_40_01,0018,9,1721,1411,1838,1556,186.3169,211.7231,51.10
slo_40_01,0018,10,1838,1556,2050,1654,233.5551,265.4027,24.81
slo_40_01,0018,11,2093,1710,2065,1862,154.5574,175.6329,-79.56
slo_40_01,0018,12,2065,1862,2339,1933,283.0495,321.6461,14.53
slo_40_01,0018,13,2339,1933,2488,2047,187.6086,213.1909,37.42
slo_40_01,0019,0,516,237,334,364,221.9302,252.1926,-34.91
slo_40_01,0019,1,334,364,320,548,184.5318,209.6946,-85.65
slo_40_01,0019,2,320,548,956,811,688.2332,782.0807,22.47
slo_40_01,0019,3,956,811,910,1002,196.4612,223.2506,-76.46
slo_40_01,0019,4,910,1002,1504,1286,658.4011,748.1807,25.55
slo_40_01,0019,5,1523,1313,1494,1523,211.9929,240.9003,-82.14
slo_40_01,0019,6,1494,1523,2047,1760,601.6461,683.6865,23.20
slo_40_01,0019,7,2047,1760,2132,1847,121.6306,138.2161,45.67
slo_40_01,0019,8,2132,1847,2096,2010,166.9281,189.6904,-77.55
